"V1","word","wf","img","os","ps","ons","pns","op_uncond","op_coda","op_onset","log_wf","log_ons","log_pns","word_length"
4741,"steams",4,NA,NA,NA,NA,NA,0.2721575,0,0.8479969,0.698970004336019,NA,NA,6
4742,"steed",28,4.2,0.0599830715136344,0.0009942438592943,10,26,0.009522774,0,0,1.46239799789896,1.04139268515822,1.43136376415899,5
4743,"steeds",2,NA,NA,NA,NA,NA,0.009522774,0,0,0.477121254719662,NA,NA,6
4744,"steel",8134,5.8,0.0681541020073522,0.0453683535709928,8,24,0.009522774,0,0,3.91035755727288,0.954242509439325,1.39794000867204,5
4745,"steels",182,NA,0.130803381588522,0.0461470450876735,8,27,0.009522774,0,0,2.26245108973043,0.954242509439325,1.44715803134222,6
4746,"steep",984,4.2,0.0232874163317578,0.0495718642387004,11,18,0.009522774,0,0,2.99343623049761,1.07918124604762,1.27875360095283,5
4747,"steer",304,5,0.127190910665319,0.0513152802662863,9,23,0,0,0,2.48429983934679,1,1.38021124171161,5
4748,"steered",126,NA,0.0742043064049654,0.0537996927620597,5,18,0,0,0,2.10380372095596,0.778151250383644,1.27875360095283,7
4749,"steers",52,NA,0.12375230250962,0.0258558685459762,6,22,0,0,0,1.72427586960079,0.845098040014257,1.36172783601759,6
4750,"stein",390,2.1,-0.0033582440848977,-0.0304051654466318,4,15,2.273018,1.222392,0,2.59217675739587,0.698970004336019,1.20411998265592,5
4751,"steins",2,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,NA,NA,6
4752,"stem",919,6.2,0.0946779457554603,0.144502220129863,8,10,0.06730399,0.1520031,0,2.96378782734556,0.954242509439325,1.04139268515822,4
4753,"stems",730,NA,0.155528081177615,0.239174031983076,6,7,0.06730399,0,0,2.86391737695786,0.845098040014257,0.903089986991944,5
4754,"stench",16,3.3,0.0816908442215715,0.0527391980925,2,3,0.06730399,0,0,1.23044892137827,0.477121254719662,0.602059991327962,6
4755,"step",4842,5.7,0.125440813170468,0.135425637455951,7,12,0.06730399,0,0,3.68511446904654,0.903089986991944,1.11394335230684,4
4756,"steps",2896,NA,0.12330125551858,0.148952584519802,7,8,0.06730399,0,0,3.46194849520376,0.903089986991944,0.954242509439325,5
4757,"stern",598,3.6,0.175568781415371,0.0645021373427901,6,19,0.02445304,0,0,2.77742682238931,0.845098040014257,1.30102999566398,5
4758,"stew",51,5.7,0.0215579290853142,0.0480080179822625,10,25,0.688056,0.5405684,0,1.7160033436348,1.04139268515822,1.41497334797082,4
4759,"stews",7,NA,0.0779304274987717,0.0488022580700302,10,22,0.688056,0.5563933,0,0.903089986991944,1.04139268515822,1.36172783601759,5
4760,"stick",973,5.9,0.0936958988289023,0.068521171047789,10,29,0.1385101,0,0,2.98855895687862,1.04139268515822,1.47712125471966,5
4761,"sticks",247,NA,0.11954910328902,0.0749079937148292,9,22,0.1385101,0,0,2.39445168082622,1,1.36172783601759,6
4762,"stiff",621,3.7,0.0099301086817914,0.0487660104530859,7,15,0.1385101,0,0,2.79379038469082,0.903089986991944,1.20411998265592,5
4763,"stile",1,2,NA,NA,NA,NA,0.05107418,0.1069152,0,0.301029995663981,NA,NA,5
4764,"still",29791,2.8,0.0296041184255381,0.0066025704519782,9,25,0.1385101,0.0489096,0,4.47409965930125,1,1.41497334797082,5
