D_word,O-S consistency,P-S consistency,O-S consistency: GLoVe,P-S consistency: GLoVe,orth neighborhood size,phon neighborhood size
iniquity,-0.0812980728725417,-0.0812980728725417,0.269551955300849,0.317984213507114,1,2
initial,0.0585420091649414,0.197783566464992,0.044388928035204,0.0992222366420802,1,5
initialed,NA,NA,0.401729708381137,-0.014490823751452,2,3
initially,NA,0.129387362247196,NA,0.0632143357970189,0,4
initials,0.0585420091649414,0.0392855573556723,0.044388928035204,0.0429621684530093,1,6
initiate,0.152956309194634,0.0656067763898192,0.614533178969717,0.60866076352032,2,1
initiated,0.2144877465976,NA,0.346800024749275,NA,3,0
initiates,0.127138213792785,0.0656067763898192,0.489155183490417,0.60866076352032,2,1
initiating,0.0151301362423502,NA,0.164420215469493,NA,1,0
initiation,NA,NA,0.374653019958554,0.374653019958554,1,1
initiative,0.20256472144484,0.20256472144484,0.742484870908183,0.742484870908183,1,2
initiator,NA,NA,0.398940303506936,0.398940303506936,2,3
inject,0.449428715804481,0.225916765033921,0.319498022410473,0.246294269823154,3,6
injected,0.551865360653437,0.190733795726339,0.34436941771423,0.281933213503816,1,3
injecting,0.372389319408037,0.125831816257184,0.431923682215558,0.198783931872788,1,4
injection,0.175250705401218,0.146870814042449,0.445553582269859,0.359222002607438,2,3
injunction,0.122779356451479,0.122779356451479,0.689444390109723,0.689444390109723,1,1
injunctions,0.122779356451479,0.122779356451479,0.689444390109723,0.689444390109723,1,1
injure,0.175070211717596,0.0913050453155678,0.314230369125037,0.15288179131589,5,8
injured,0.365209364361289,0.284124568036228,0.262043997440481,0.191006251297832,4,6
injuries,0.3560886054996,0.622061947121198,0.419233998827558,0.606188069204503,1,3
injuring,-0.0383433027446939,0.0674045700475946,0.0577759755694715,0.0256680771524478,2,1
injurious,-0.0348365152166079,NA,0.170528732353672,NA,1,0
injury,0.241411436150605,0.580049682900375,0.255408588686393,0.359591966336913,1,5
injustice,0.112706315122165,-0.0550145833801618,0.69892110373942,NA,2,1
injustices,0.280427213624492,NA,0.69892110373942,NA,1,0
ink,0.0523183488162873,0.0814335560084965,0.0732390367529999,0.0746241926865897,17,24
inkling,-0.0029305406285091,0.0241170955799945,0.202398288776016,0.26439239178227,4,2
inks,0.0839305105054015,0.0919433418179427,0.0754441575043863,0.0963483538546233,13,19
inkwell,0.494937101047287,0.494937101047287,0.218564748181101,0.266206232463281,2,1
inky,-0.011853160580414,-0.0173582238521515,0.199605758757311,0.179656249577567,7,10
inlaid,0.0280118184719261,0.0858090839333903,-0.0640148002262008,0.224559414139894,2,4
inland,0.0153845177444622,0.0237000805698686,0.116868454252099,0.103333841636561,3,1
inlay,-0.0384773393272249,0.155411029185622,0.283136804159373,0.33660405950638,3,3
inlet,0.00601271111775527,0.0235598514301116,0.205210772128019,0.170513817642017,4,3
inlets,0.0603585758337552,0.00357382249411467,0.362060873856498,0.382669386751158,3,2
inmate,0.0752586185982996,0.0752586185982996,0.33881570725878,0.33881570725878,2,2
inmates,0.181258992064108,0.181258992064108,0.725499897614057,0.725499897614057,1,1
inmost,NA,0.16194746266848,NA,0.416146776366903,0,1
inn,0.0677468606787778,0.0183640672936778,0.0564360261550887,0.0335588192459319,12,57
innards,NA,NA,0.182814233493652,0.182814233493652,1,2
innate,-0.0307417548675087,0.0406546742013785,-0.0498084191250113,0.041868362609405,2,9
inner,0.0133283382583668,0.0275878159099921,-0.00914352192905988,0.0216013758757789,8,17
innermost,NA,0.16194746266848,NA,0.416146776366903,0,1
inning,0.140576176726747,0.0580130286159003,0.13038793052399,0.0679487588337929,8,15
innings,0.300929876438943,0.151377357552801,0.373590376390098,0.2033839235509,3,5
innkeeper,NA,NA,0.266416623421952,0.266416623421952,1,2
innocent,NA,NA,0.503315226552091,0.503315226552091,1,1
innocents,NA,NA,0.503315226552091,0.503315226552091,1,1
innovate,NA,NA,0.285994846307784,0.180010011342793,2,1
innovation,0.357547486834046,0.357547486834046,0.700698772553623,0.700698772553623,1,1
innovations,0.357547486834046,0.357547486834046,0.700698772553623,0.700698772553623,1,1
innovative,NA,0.104884949967328,NA,0.369431317629801,0,1
innovator,0.143149839152484,0.0651670535268332,0.406357156945416,0.275278957542505,2,3
innovators,0.143149839152484,0.0410882008931847,0.366043109171047,0.278115053280426,2,3
inns,0.0691038445513113,0.00500466693617886,0.0664537618711991,0.0189620698922044,8,39
innuendo,-0.109704949323065,-0.109704949323065,0.592743060605238,0.588701393921692,1,2
innuendoes,NA,NA,0.580283724570805,0.584659727238145,1,1
innuendos,-0.109704949323065,-0.109704949323065,0.586513392588022,0.592743060605238,2,1
inoculate,0.218596327482757,NA,0.37844722880694,0.248301466573698,2,1
inoculation,0.862212585850824,0.862212585850824,0.600396319406768,0.600396319406768,1,1
inoculations,0.862212585850824,0.862212585850824,0.600396319406768,0.600396319406768,1,1
input,0.667488293157888,0.667488293157888,0.717770665477669,0.717770665477669,1,2
inquest,NA,NA,0.509025447482038,NA,1,0
inquire,0.181252247032577,0.0806706832211508,0.418296706269293,0.37836143872263,5,5
inquired,0.0927070143376655,0.0829011308566149,0.488692998231901,0.51105103568657,4,4
inquirer,0.0164524981011194,-0.0490766606002973,0.167285038391175,0.418052365291817,5,1
inquiries,0.06655458206162,0.0966445658265756,0.607935141628075,0.36731709799852,2,3
inquiring,-0.0998581440142686,NA,0.670422484882463,NA,1,0
inquiry,0.360589075674997,NA,0.522897750604265,NA,2,0
inquisition,0.0708391902824896,NA,0.469218482620538,NA,1,0
inquisitor,0.162190882021172,NA,0.488803128623827,NA,1,0
inroad,NA,NA,0.457492987683051,0.117061100696134,1,6
inroads,NA,-0.0219808244311415,0.457492987683051,0.145229695606239,1,4
inrush,NA,NA,0.314635871377799,0.314635871377799,1,1
insane,-0.0459603941218918,0.0394519193919573,0.181125584324076,0.0850503951226768,2,3
insanely,NA,NA,0.187609904274238,0.187609904274238,1,1
