,word,img,n_features,wf
687,edge,5.1,7.0,1565.0
688,eel,6.3,8.0,16.0
689,elf,6.6,6.0,228.0
690,elk,6.0,,64.5
691,elk,6.0,,64.5
692,elm,5.8,19.0,65.0
693,else,1.7,9.0,3379.0
694,elves,6.5,7.0,6.0
695,end,3.0,6.0,21222.0
696,etch,3.2,5.0,29.0
697,eve,3.3,12.0,436.0
698,ewe,3.9,8.0,3.0
699,eye,6.7,11.0,1757.0
700,face,6.4,10.0,8824.0
701,fact,2.6,5.0,8831.0
702,fad,2.8,8.0,134.0
703,fade,4.0,3.0,213.0
704,fag,3.7,11.0,3.0
705,fail,3.1,5.0,1332.0
706,faint,4.6,6.0,104.0
707,fair,3.8,4.0,3029.0
708,faith,3.5,5.0,1147.0
709,fake,3.2,6.0,246.0
710,fall,4.8,6.0,9925.0
711,fame,3.5,3.0,371.0
712,fan,6.0,7.0,470.0
713,fang,6.1,9.0,38.0
714,far,3.5,10.0,17233.0
715,farce,2.1,7.0,73.0
716,fare,2.5,6.0,1462.0
717,farm,6.2,10.0,4912.0
718,fast,3.0,9.0,4058.0
719,fat,5.8,7.0,1127.0
720,fate,3.0,3.0,790.0
721,fault,2.1,4.0,556.0
722,fawn,6.3,5.0,43.0
723,faze,2.4,4.0,23.0
724,fear,2.9,5.0,4321.0
725,feast,5.5,6.0,93.0
726,feat,2.1,5.0,136.0
727,fed,3.4,7.0,8405.0
728,fee,3.7,10.0,2802.0
729,feed,4.4,6.0,988.0
730,feel,2.9,5.0,4605.0
731,feet,6.7,16.0,2924.0
732,feign,2.2,5.0,9.0
733,fell,3.7,7.0,21296.0
734,felt,3.1,6.0,2729.0
735,fence,6.6,10.0,262.0
736,fern,6.2,10.0,19.0
737,fetch,4.0,5.0,434.0
738,feud,3.8,4.0,274.0
739,few,2.7,9.0,17977.0
740,fib,3.2,8.0,1.0
741,field,6.5,8.0,4602.0
742,fiend,3.4,10.0,8.0
743,fierce,3.6,8.0,514.0
744,fife,2.2,15.0,7.0
745,fifth,4.4,12.0,2095.0
746,fig,5.1,10.0,41.0
747,fight,4.8,4.0,5184.0
748,file,5.8,5.0,2523.0
749,fill,3.5,4.0,1608.0
750,film,6.0,5.0,4016.0
751,filth,4.6,7.0,19.0
752,fin,5.3,8.0,69.0
753,finch,4.3,31.0,29.0
754,find,2.5,3.0,8820.0
755,fine,2.4,5.0,3133.0
756,fir,3.5,7.0,16.0
757,fire,6.5,3.0,3925.0
758,firm,4.1,4.0,22031.0
759,first,4.1,9.0,65180.0
760,fish,6.8,,663.5
761,fish,6.8,,663.5
762,fist,6.5,16.0,97.0
763,fit,3.1,,815.0
764,fit,3.1,,815.0
765,five,5.8,12.0,20929.0
766,fix,3.2,5.0,773.0
767,fizz,4.6,7.0,14.0
768,flag,6.8,6.0,799.0
769,flail,2.7,6.0,12.0
770,flair,2.6,7.0,107.0
771,flak,1.8,8.0,60.0
772,flake,5.2,5.0,3.0
773,flame,6.2,4.0,122.0
774,flank,3.0,5.0,59.0
775,flap,4.0,4.0,182.0
776,flare,4.5,7.0,92.0
777,flash,4.9,8.0,212.0
778,flask,5.0,11.0,12.0
779,flat,4.1,6.0,2476.0
780,flaunt,2.8,3.0,21.0
781,flaw,3.1,3.0,185.0
782,flax,2.0,8.0,8.0
783,flea,6.5,23.0,40.0
784,fleck,2.6,5.0,10.0
785,flee,3.9,5.0,163.0
786,fleet,4.5,5.0,1427.0
787,flesh,5.7,7.0,179.0
788,flew,3.7,5.0,671.0
789,flex,4.1,6.0,73.0
790,flick,3.9,8.0,75.0
791,flight,5.0,3.0,3488.0
792,flinch,3.9,5.0,17.0
793,fling,3.6,7.0,36.0
794,flint,4.4,7.0,143.0
795,flip,4.0,6.0,280.0
796,flirt,4.9,6.0,13.0
797,float,5.1,4.0,289.0
798,flock,5.6,3.0,155.0
799,flog,3.5,6.0,6.0
800,flood,6.4,4.0,691.0
801,flop,3.8,4.0,158.0
802,floss,5.7,8.0,25.0
803,flounce,2.6,5.0,2.0
804,flour,6.5,6.0,132.0
805,flow,3.8,5.0,3772.0
806,flu,4.2,11.0,114.0
